# Human triage verdicts for the 209 emergent depth-4 isolation leaks (the residue the join contract cannot reach).
# Each line: <verbatim isolation-leak-snapshot.txt signature> => <verdict>. Collected from site/check.html's depth-4 triage UI.
# Verdicts: "in context is outright broken" (actionable backlog) | "...just better..." / "...OK, but halves..." / custom ("both fine") = accept.
# See doc/history/2026-06-03--leak-cleanup/leak-triage.md and doc/history/2026-06-03--leak-cleanup/leak-prevention-plan.md.
Pea Zoo Tea Oy [break 1] :: *L qsZoo.en-con-2->qsZoo |  R qsTea_qsOy->qsTea_qsOy => in context is outright broken
Pea Zoo Thaw Ing [break 1] :: *L qsZoo.en-con-2->qsZoo |  R qsThaw.ex-y0->qsThaw.ex-y0 => in context is outright broken
Pea Excite It Zoo [break 0] ::  L qsPea->qsPea | *R qsExcite->qsExcite.en-y0.ex-y0.before-vertical.noentry => in context is outright broken
Pea I They Zoo [break 1] :: *L qsI.en-y0.ex-y5.smaller-loop->qsI |  R qsThey_qsZoo->qsThey_qsZoo => in context is outright broken
Bay Tea No Ah [break 0] ::  L qsBay->qsBay | *R qsTea.half.ex-y5->qsTea.ex-y0 => in context is just better than halves-shaped-separately
Bay He No Ah [break 0] ::  L qsBay->qsBay | *R qsHe.half.ex-y5->qsHe.ex-y0 => in context is just better than halves-shaped-separately
Bay It See Low [break 1] ::  L qsIt.en-y0.ex-y5->qsIt.en-y0.ex-y5 | *R qsSee.ex-y0.ex-ext-2->qsSee => in context is OK, but halves-shaped-separately is better
Bay It See At [break 1] ::  L qsIt.en-y0.ex-y5->qsIt.en-y0.ex-y5 | *R qsSee.ex-y0->qsSee => in context is OK, but halves-shaped-separately is better
Bay It See Out [break 1] ::  L qsIt.en-y0.ex-y5->qsIt.en-y0.ex-y5 | *R qsSee.ex-y0.ex-con-1->qsSee => in context is OK, but halves-shaped-separately is better
Bay It See Ooze [break 1] ::  L qsIt.en-y0.ex-y5->qsIt.en-y0.ex-y5 | *R qsSee.ex-y0.ex-y0-right->qsSee => in context is OK, but halves-shaped-separately is better
Tea Day Tea Oy [break 1] :: *L qsDay.half.en-y0.ex-y0.en-ext-1->qsDay |  R qsTea_qsOy->qsTea_qsOy => in context is OK, but halves-shaped-separately is better
Tea Day Thaw Ing [break 1] :: *L qsDay.half.en-y0.ex-y0.en-ext-1->qsDay |  R qsThaw.ex-y0->qsThaw.ex-y0 => in context is OK, but halves-shaped-separately is better
Tea Ing Tea Oy [break 1] :: *L qsIng.en-ext-1->qsIng |  R qsTea_qsOy->qsTea_qsOy => in context is just better than halves-shaped-separately
Tea Excite It Zoo [break 0] ::  L qsTea->qsTea | *R qsExcite->qsExcite.en-y0.ex-y0.before-vertical.noentry => in context is outright broken
Day Tea No Ah [break 0] ::  L qsDay->qsDay | *R qsTea.half.ex-y5->qsTea.ex-y0 => in context is just better than halves-shaped-separately
Day He No Ah [break 0] ::  L qsDay->qsDay | *R qsHe.half.ex-y5->qsHe.ex-y0 => in context is just better than halves-shaped-separately
Day Eat It No [break 0] ::  L qsDay_qsEat->qsDay_qsEat | *R qsIt.ex-y0->qsIt.ex-y5 => either of these are fine
Day Utter May Pea [break 1] ::  L qsMay.en-y5->qsMay.en-y5 | *R qsPea->qsPea.en-y5.ex-y0 => in context is outright broken
Day Utter May Ye [break 1] ::  L qsMay.en-y5->qsMay.en-y5 | *R qsYe->qsYe.en-y5.ex-y0 => in context is outright broken
Day Utter May Oy [break 1] ::  L qsMay.en-y5->qsMay.en-y5 | *R qsOy->qsOy.en-y5.ex-y0 => in context is outright broken
Day Utter May Owe [break 1] ::  L qsMay.en-y5->qsMay.en-y5 | *R qsOwe->qsOwe.en-y5 => in context is outright broken
Key Tea No Ah [break 0] ::  L qsKey->qsKey | *R qsTea.half.ex-y5->qsTea.ex-y0 => in context is just better than halves-shaped-separately
Key He No Ah [break 0] ::  L qsKey->qsKey | *R qsHe.half.ex-y5->qsHe.ex-y0 => in context is just better than halves-shaped-separately
Gay Jai Tea Oy [break 1] :: *L qsJai.en-y5.ex-y0.en-ext-2->qsJai |  R qsTea_qsOy->qsTea_qsOy => in context is OK, but halves-shaped-separately is better
Gay Jai Thaw Ing [break 1] :: *L qsJai.en-y5.ex-y0.en-ext-2->qsJai |  R qsThaw.ex-y0->qsThaw.ex-y0 => in context is OK, but halves-shaped-separately is better
Thaw Ing Tea Oy [break 1] :: *L qsIng.en-ext-2->qsIng |  R qsTea_qsOy->qsTea_qsOy => in context is outright broken
They Zoo Gay Jai [break 0] ::  L qsThey_qsZoo->qsThey_qsZoo | *R qsGay.ex-y5.ex-ext-2->qsGay.en-y0.ex-y5.ex-ext-2 => in context is outright broken
They Zoo Gay Ye [break 1] ::  L qsGay->qsGay | *R qsYe->qsYe.en-y5.ex-y0 => in context is outright broken
They Zoo Gay Owe [break 0] ::  L qsThey_qsZoo->qsThey_qsZoo | *R qsGay->qsGay.en-y0.ex-y5.ex-ext-2 => in context is outright broken
They Zoo No Day [break 1] ::  L qsNo->qsNo | *R qsDay->qsDay.half.en-y0.ex-y0 => in context is outright broken
They Zoo No Gay [break 1] ::  L qsNo->qsNo | *R qsGay->qsGay.en-y0.ex-y5 => in context is outright broken
They Zoo No Zoo [break 1] ::  L qsNo->qsNo | *R qsZoo->qsZoo.half.en-y0.ex-y0 => in context is outright broken
They Zoo No No [break 1] ::  L qsNo->qsNo | *R qsNo->qsNo.alt.en-y0.ex-y0 => in context is outright broken
They Zoo No Excite [break 1] ::  L qsNo->qsNo | *R qsExcite->qsExcite.en-y0.noexit => in context is outright broken
They Zoo Roe I [break 0] ::  L qsThey_qsZoo->qsThey_qsZoo | *R qsRoe.ex-y0.ex-ext-1->qsRoe => in context is OK, but halves-shaped-separately is better
They Zoo Roe Ah [break 0] ::  L qsThey_qsZoo->qsThey_qsZoo | *R qsRoe.ex-y0->qsRoe => in context is OK, but halves-shaped-separately is better
They Zoo Excite Day [break 1] ::  L qsExcite->qsExcite | *R qsDay->qsDay.half.en-y0.ex-y0 => in context is outright broken
They Zoo Excite Zoo [break 1] ::  L qsExcite->qsExcite | *R qsZoo->qsZoo.half.en-y0.ex-y0 => in context is outright broken
They Zoo Excite No [break 1] ::  L qsExcite->qsExcite | *R qsNo->qsNo.alt.en-y0.ex-y0 => in context is outright broken
They Zoo Excite Excite [break 1] ::  L qsExcite->qsExcite | *R qsExcite->qsExcite.en-y0.noexit => in context is outright broken
They Zoo It Ye [break 1] ::  L qsIt->qsIt | *R qsYe->qsYe.en-y5.ex-y0 => in context is outright broken
They May Fee Cheer [break 1] :: *L qsMay.en-y0.ex-y5->qsMay | *R qsFee.ex-y5.before-utter.ex-ext-1->qsFee.ex-y5.ex-ext-1 => in context is OK, but halves-shaped-separately is better
They May See Eat [break 1] :: *L qsMay.en-y0.ex-y5->qsMay |  R qsSee_qsEat->qsSee_qsEat => in context is OK, but halves-shaped-separately is better
Fee May Pea Awe [break 1] ::  L qsMay.en-y5.after-fee->qsMay.en-y5.after-fee | *R qsPea.half.ex-y5.ex-dips->qsPea.half.ex-y5 => these look the same to me
Fee Utter See Eat [break 1] :: *L qsUtter->qsUtter.alt.en-y5.ex-y0.reaches-way-back |  R qsSee_qsEat->qsSee_qsEat => in context is outright broken
Fee Utter See Utter [break 1] :: *L qsUtter->qsUtter.alt.en-y5.ex-y0.reaches-way-back |  R qsSee_qsUtter->qsSee_qsUtter => in context is outright broken
See Eat It No [break 0] ::  L qsSee_qsEat->qsSee_qsEat | *R qsIt.ex-y0->qsIt.ex-y5 => both of these look fine
Zoo Tea No Ah [break 0] ::  L qsZoo->qsZoo | *R qsTea.half.ex-y5->qsTea.ex-y0 => in context is just better than halves-shaped-separately
Zoo He No Ah [break 0] ::  L qsZoo->qsZoo | *R qsHe.half.ex-y5->qsHe.ex-y0 => in context is just better than halves-shaped-separately
